name,abbreviation
Christen-Democratisch Appèl,CDA
ChristenUnie,CU
Democraten 66,D66
GroenLinks,GL
Partij van de Arbeid,PvdA
Partij voor de Dieren,PvdD
Partij voor de Vrijheid,PVV
Staatkundig Gereformeerde Partij,SGP
Socialistische Partij,SP
Volkspartij voor Vrijheid en Democratie,VVD
50Plus,50+
DENK,Denk
Forum voor Democratie,FVD
Partij voor Mens en Spirit,MenS
Piratenpartij,PPNL
