RegioNaam;RegioCode;Amsterdamsecode;Partij;AantalZetels
Aa en Hunze;G1680;10787;Combinatie Gemeentebelangen;10
Aa en Hunze;G1680;10787;VVD;4
Aa en Hunze;G1680;10787;Partij van de Arbeid (P.v.d.A.);3
Aa en Hunze;G1680;10787;GROENLINKS;2
Aa en Hunze;G1680;10787;CDA;1
Aa en Hunze;G1680;10787;Democraten 66 (D66);1
Aalsmeer;G0358;11264;CDA;8
Aalsmeer;G0358;11264;VVD;6
Aalsmeer;G0358;11264;Absoluut Aalsmeer;4
Aalsmeer;G0358;11264;Democraten 66 (D66);2
Aalsmeer;G0358;11264;GROENLINKS;2
Aalsmeer;G0358;11264;Partij van de Arbeid (P.v.d.A.);1
Aalsmeer;G0358;11264;Het Aalsmeers Collectief;
Aalten;G0197;11046;CDA;6
Aalten;G0197;11046;GemeenteBelangen;5
Aalten;G0197;11046;Progressieve Partij;3
Aalten;G0197;11046;VVD;3
Aalten;G0197;11046;Democraten 66 (D66);2
Aalten;G0197;11046;ChristenUnie;1
Aalten;G0197;11046;HenkMeerdinkVolksvertegenwoordiging;1
Achtkarspelen;G0059;10199;CDA;6
Achtkarspelen;G0059;10199;FNP;4
Achtkarspelen;G0059;10199;ChristenUnie;3
Achtkarspelen;G0059;10199;Gemeente Belangen Achtkarspelen GBA;3
Achtkarspelen;G0059;10199;Partij van de Arbeid (P.v.d.A.);2
Achtkarspelen;G0059;10199;GROENLINKS;1
Achtkarspelen;G0059;10199;PVV (Partij voor de Vrijheid);1
Achtkarspelen;G0059;10199;VVD;1
Alblasserdam;G0482;11327;Staatkundig Gereformeerde Partij (SGP);5
Alblasserdam;G0482;11327;Partij van de Arbeid (P.v.d.A.);4
Alblasserdam;G0482;11327;CDA;3
Alblasserdam;G0482;11327;VVD;3
Alblasserdam;G0482;11327;ChristenUnie;2
Alblasserdam;G0482;11327;Democraten 66 (D66);2
Albrandswaard;G0613;10124;VVD;5
Albrandswaard;G0613;10124;Echt voor Albrandswaard (EVA);4
Albrandswaard;G0613;10124;Leefbaar Albrandswaard;3
Albrandswaard;G0613;10124;Stem-Lokaal;3
Albrandswaard;G0613;10124;CDA;2
Albrandswaard;G0613;10124;ChristenUnie-SGP;1
Albrandswaard;G0613;10124;GROENLINKS;1
Albrandswaard;G0613;10124;Nieuwe Albrandswaardse Partij (NAP);1
Albrandswaard;G0613;10124;Partij van de Arbeid (P.v.d.A.);1
Alkmaar;G0361;10527;GROENLINKS;6
Alkmaar;G0361;10527;Onafhankelijke Partij Alkmaar (OPA);6
Alkmaar;G0361;10527;VVD;6
Alkmaar;G0361;10527;CDA;4
Alkmaar;G0361;10527;Democraten 66 (D66);4
Alkmaar;G0361;10527;Partij van de Arbeid (P.v.d.A.);4
Alkmaar;G0361;10527;B.A.S.;2
Alkmaar;G0361;10527;Leefbaar Alkmaar;2
Alkmaar;G0361;10527;Partij voor de Dieren;2
Alkmaar;G0361;10527;SeniorenPartij Alkmaar (SPA) ouderen;2
Alkmaar;G0361;10527;ChristenUnie;1
Alkmaar;G0361;10527;Democratische Partij Alkmaar;
Alkmaar;G0361;10527;DENK;
Alkmaar;G0361;10527;Partij voor Iedereen;
Almelo;G0141;11053;CDA;6
Almelo;G0141;11053;VVD;6
Almelo;G0141;11053;Lokaal Almelo Samen;5
Almelo;G0141;11053;PVV (Partij voor de Vrijheid);3
Almelo;G0141;11053;ChristenUnie;2
Almelo;G0141;11053;Democraten 66 (D66);2
Almelo;G0141;11053;GROENLINKS;2
Almelo;G0141;11053;Partij van de Arbeid (P.v.d.A.);2
Almelo;G0141;11053;Partij Vrij Almelo (PVA);2
Almelo;G0141;11053;SP (Socialistische Partij);2
Almelo;G0141;11053;Blanco lijst 14;1
Almelo;G0141;11053;DEMOCRATEN.NU;1
Almelo;G0141;11053;Leefbaar Almelo;1
Almelo;G0141;11053;Almelo Centraal;
Almelo;G0141;11053;Minimapartij;
Almere;G0034;10018;VVD;8
Almere;G0034;10018;Partij van de Arbeid (P.v.d.A.);7
Almere;G0034;10018;PVV (Partij voor de Vrijheid);6
Almere;G0034;10018;Democraten 66 (D66);5
Almere;G0034;10018;GROENLINKS;4
Almere;G0034;10018;Leefbaar Almere;3
Almere;G0034;10018;Partij voor de Dieren;3
Almere;G0034;10018;SP (Socialistische Partij);3
Almere;G0034;10018;CDA;2
Almere;G0034;10018;ChristenUnie;2
Almere;G0034;10018;AP/OPA;1
Almere;G0034;10018;Respect Almere;1
Almere;G0034;10018;Almere Anders'18;
Almere;G0034;10018;GLP;
Almere;G0034;10018;WOW (Wonen Ondernemen Werken);
Almere;G0034;10018;WSTAV (Wij Staan Voor);
Alphen aan den Rijn;G0484;10517;Nieuw Elan;10
Alphen aan den Rijn;G0484;10517;CDA;6
Alphen aan den Rijn;G0484;10517;VVD;6
Alphen aan den Rijn;G0484;10517;GROENLINKS;5
Alphen aan den Rijn;G0484;10517;Democraten 66 (D66);3
Alphen aan den Rijn;G0484;10517;ChristenUnie;2
Alphen aan den Rijn;G0484;10517;Partij van de Arbeid (P.v.d.A.);2
Alphen aan den Rijn;G0484;10517;SP (Socialistische Partij);2
Alphen aan den Rijn;G0484;10517;Beter Alphen;1
Alphen aan den Rijn;G0484;10517;RijnGouweLokaal (RGL);1
Alphen aan den Rijn;G0484;10517;Staatkundig Gereformeerde Partij (SGP);1
Alphen-Chaam;G1723;10710;CDA;4
Alphen-Chaam;G1723;10710;GBSV;4
Alphen-Chaam;G1723;10710;Gemeenschapsbelangen Alphen;4
Alphen-Chaam;G1723;10710;VVD;2
Alphen-Chaam;G1723;10710;Gemeentebelangen Galder, Strijbeek, Ulvenhout AC (GSU);1
Ameland;G0060;11153;AmelandEén;5
Ameland;G0060;11153;Algemeen Belang Ameland;2
Ameland;G0060;11153;Ameland '82;1
Ameland;G0060;11153;CDA;1
Ameland;G0060;11153;Partij van de Arbeid (P.v.d.A.);1
Ameland;G0060;11153;VVD;1
Amersfoort;G0307;10948;CDA;6
Amersfoort;G0307;10948;Democraten 66 (D66);6
Amersfoort;G0307;10948;GROENLINKS;6
Amersfoort;G0307;10948;VVD;6
Amersfoort;G0307;10948;ChristenUnie;4
Amersfoort;G0307;10948;Amersfoort 2014;3
Amersfoort;G0307;10948;SP (Socialistische Partij);3
Amersfoort;G0307;10948;Burger Partij Amersfoort (BPA);2
Amersfoort;G0307;10948;Partij van de Arbeid (P.v.d.A.);2
Amersfoort;G0307;10948;DENK;1
Amersfoort;G0307;10948;Actief;
Amersfoort;G0307;10948;Blanco lijst 10;
Amersfoort;G0307;10948;Staatkundig Gereformeerde Partij (SGP);
Amersfoort;G0307;10948;Vrede en Recht;
Amstelveen;G0362;10799;VVD;10
Amstelveen;G0362;10799;Democraten 66 (D66);7
Amstelveen;G0362;10799;GROENLINKS;5
Amstelveen;G0362;10799;BURGERBELANGEN AMSTELVEEN;4
Amstelveen;G0362;10799;Partij van de Arbeid (P.v.d.A.);3
Amstelveen;G0362;10799;Actief voor Amstelveen;2
Amstelveen;G0362;10799;CDA;2
Amstelveen;G0362;10799;SP (Socialistische Partij);2
Amstelveen;G0362;10799;ChristenUnie;1
Amstelveen;G0362;10799;Ouderen Combinatie Amstelveen (OCA);1
Amsterdam;G0363;11150;GROENLINKS;10
Amsterdam;G0363;11150;Democraten 66 (D66);8
Amsterdam;G0363;11150;VVD;6
Amsterdam;G0363;11150;Partij van de Arbeid (P.v.d.A.);5
Amsterdam;G0363;11150;DENK;3
Amsterdam;G0363;11150;Forum voor Democratie;3
Amsterdam;G0363;11150;Partij voor de Dieren;3
Amsterdam;G0363;11150;SP (Socialistische Partij);3
Amsterdam;G0363;11150;Amsterdam BIJ1;1
Amsterdam;G0363;11150;CDA;1
Amsterdam;G0363;11150;ChristenUnie;1
Amsterdam;G0363;11150;Partij van de Ouderen (P.v.d.O.);1
Amsterdam;G0363;11150;50PLUS;
Amsterdam;G0363;11150;Anti-Scooter Partij;
Amsterdam;G0363;11150;Basisinkomen Partij (BIpartij);
Amsterdam;G0363;11150;blanco (van Oudenallen, H.F.M.);
Amsterdam;G0363;11150;Blanco lijst 28;
Amsterdam;G0363;11150;Blije Burgers;
Amsterdam;G0363;11150;Carryonthemove;
Amsterdam;G0363;11150;De Republikeinse Politieke Partij;
Amsterdam;G0363;11150;destemvandestraat;
Amsterdam;G0363;11150;Partij voor Iedereen;
Amsterdam;G0363;11150;Piratenpartij Amsterdam;
Amsterdam;G0363;11150;Platform Amsterdam;
Amsterdam;G0363;11150;QUEER;
Amsterdam;G0363;11150;SAMEN Alle Mensen Één Nederland (SAMEN);
Amsterdam;G0363;11150;Staatkundig Gereformeerde Partij (SGP);
Amsterdam;G0363;11150;U-Buntu Connected Front (UCF);
Apeldoorn;G0200;11075;VVD;6
Apeldoorn;G0200;11075;CDA;5
Apeldoorn;G0200;11075;Lokaal Apeldoorn;5
Apeldoorn;G0200;11075;ChristenUnie;4
Apeldoorn;G0200;11075;Democraten 66 (D66);4
Apeldoorn;G0200;11075;50PLUS;3
Apeldoorn;G0200;11075;GROENLINKS;3
Apeldoorn;G0200;11075;Partij van de Arbeid (P.v.d.A.);2
Apeldoorn;G0200;11075;Partij voor de Dieren;2
Apeldoorn;G0200;11075;SP (Socialistische Partij);2
Apeldoorn;G0200;11075;Staatkundig Gereformeerde Partij (SGP);2
Apeldoorn;G0200;11075;Gemeentebelangen;1
Apeldoorn;G0200;11075;JEZUS LEEFT;
Apeldoorn;G0200;11075;Progressief Sociaal Apeldoorn (PSA);
Apeldoorn;G0200;11075;Vrede en Recht;
Appingedam;G0003;10886;Gemeentebelangen Appingedam;6
Appingedam;G0003;10886;SP (Socialistische Partij);3
Appingedam;G0003;10886;CDA;2
Appingedam;G0003;10886;Partij van de Arbeid (P.v.d.A.);2
Appingedam;G0003;10886;ChristenUnie;1
Appingedam;G0003;10886;Democraten 66 (D66);1
Appingedam;G0003;10886;VVD;
Arnhem;G0202;10795;GROENLINKS;7
Arnhem;G0202;10795;VVD;6
Arnhem;G0202;10795;Democraten 66 (D66);5
Arnhem;G0202;10795;Partij van de Arbeid (P.v.d.A.);4
Arnhem;G0202;10795;Arnhem Centraal;3
Arnhem;G0202;10795;SP (Socialistische Partij);3
Arnhem;G0202;10795;CDA;2
Arnhem;G0202;10795;ChristenUnie;2
Arnhem;G0202;10795;DENK Verenigd Arnhem;2
Arnhem;G0202;10795;Partij voor de Dieren;2
Arnhem;G0202;10795;PVV (Partij voor de Vrijheid);2
Arnhem;G0202;10795;Arnhemse Ouderen Partij;1
Arnhem;G0202;10795;Arnhem1;
Arnhem;G0202;10795;Blanco lijst 12;
Arnhem;G0202;10795;Gelderse Centrumdemocraten (Gelderse C.D.);
Arnhem;G0202;10795;Nederlandse Volks-Unie (NVU);
Assen;G0106;10522;ChristenUnie;5
Assen;G0106;10522;GROENLINKS;4
Assen;G0106;10522;Partij van de Arbeid (P.v.d.A.);4
Assen;G0106;10522;Stadspartij PLOP;4
Assen;G0106;10522;VVD;4
Assen;G0106;10522;50PLUS;3
Assen;G0106;10522;CDA;3
Assen;G0106;10522;Democraten 66 (D66);3
Assen;G0106;10522;SP (Socialistische Partij);3
Asten;G0743;10478;CDA;5
Asten;G0743;10478;Algemeen Belang;4
Asten;G0743;10478;Leefbaar Asten;3
Asten;G0743;10478;D66-Hart voor Asten;2
Asten;G0743;10478;PGA;2
Asten;G0743;10478;VVD;1
Baarle-Nassau;G0744;10060;BAARLE!;5
Baarle-Nassau;G0744;10060;Keerpunt '98;3
Baarle-Nassau;G0744;10060;CDA;2
Baarle-Nassau;G0744;10060;Fractie Ulicoten;2
Baarle-Nassau;G0744;10060;Vooruitstrevende Partij Baarle (VPB);1
Baarn;G0308;11411;VVD;5
Baarn;G0308;11411;Democraten 66 (D66);3
Baarn;G0308;11411;VoorBaarn;3
Baarn;G0308;11411;Baarnse Onafhankelijke Partij (BOP);2
Baarn;G0308;11411;CDA;2
Baarn;G0308;11411;GROENLINKS;2
Baarn;G0308;11411;ChristenUnie-SGP;1
Baarn;G0308;11411;Partij van de Arbeid (P.v.d.A.);1
Baarn;G0308;11411;LTS (Lijst Tinus Snyders);
Barendrecht;G0489;10943;EVB (Echt voor Barendrecht);14
Barendrecht;G0489;10943;CDA;4
Barendrecht;G0489;10943;SGP-ChristenUnie;3
Barendrecht;G0489;10943;VVD;3
Barendrecht;G0489;10943;GROENLINKS;2
Barendrecht;G0489;10943;Partij van de Arbeid (P.v.d.A.);2
Barendrecht;G0489;10943;Democraten 66 (D66);1
Barneveld;G0203;10906;Staatkundig Gereformeerde Partij (SGP);8
Barneveld;G0203;10906;CDA;5
Barneveld;G0203;10906;ChristenUnie;5
Barneveld;G0203;10906;Pro'98 (Pro Barneveld - PvdA - D66);5
Barneveld;G0203;10906;Lokaal Belang;4
Barneveld;G0203;10906;Burger Initiatief;2
Barneveld;G0203;10906;VVD;2
Barneveld;G0203;10906;Blanco lijst 8;
Beek;G0888;11374;BBB-NDB;5
Beek;G0888;11374;CDA;5
Beek;G0888;11374;Progressief Beek;4
Beek;G0888;11374;VVD;2
Beek;G0888;11374;Senioren Belang Beek;1
Beemster;G0370;10816;Beemster Polder Partij;6
Beemster;G0370;10816;VVD;3
Beemster;G0370;10816;Partij van de Arbeid (P.v.d.A.)/GROENLINKS;2
Beemster;G0370;10816;CDA;1
Beemster;G0370;10816;Democraten 66 (D66);1
Beesel;G0889;10195;CDA;5
Beesel;G0889;10195;Verantwoorde Lokale Politiek (V.L.P.);5
