RegioNaam;RegioCode;Amsterdamsecode;Partij;AantalZetels
Beesel;G0889;10195;Beeselse Lijst;3
Beesel;G0889;10195;P.v.d.A. D66 GROENLINKS Samen Verder Beesel;2
Berg en Dal;G1945;10616;CDA;4
Berg en Dal;G1945;10616;GROENLINKS;3
Berg en Dal;G1945;10616;Polderbreed;3
Berg en Dal;G1945;10616;Gemeente- Jeugd- en Sportbelangen;2
Berg en Dal;G1945;10616;Groesbeekse Volkspartij (GVP);2
Berg en Dal;G1945;10616;Sociaal Groesbeek;2
Berg en Dal;G1945;10616;V.O.L.G.;2
Berg en Dal;G1945;10616;VOOR BERG EN DAL (VBenD);2
Berg en Dal;G1945;10616;Democraten 66 (D66);1
Berg en Dal;G1945;10616;Partij van de Arbeid (P.v.d.A.);1
Berg en Dal;G1945;10616;VVD;1
Bergeijk;G1724;11160;CDA;7
Bergeijk;G1724;11160;GROENLINKS//Partij van de Arbeid;4
Bergeijk;G1724;11160;Lokale Partij Bergeijk;4
Bergeijk;G1724;11160;VVD;2
Bergen;G0893;11281;CDA;6
Bergen;G0893;11281;Progressieve Kombinatie Bergen (L);4
Bergen;G0893;11281;KERN;3
Bergen;G0893;11281;VVD;2
Bergen;G0373;11424;KIES Lokaal;5
Bergen;G0373;11424;GROENLINKS;4
Bergen;G0373;11424;Gemeentebelangen B-E-S;3
Bergen;G0373;11424;VVD;3
Bergen;G0373;11424;CDA;2
Bergen;G0373;11424;Democraten 66 (D66);2
Bergen;G0373;11424;Behoorlijk Bestuur Bergen N.H.;1
Bergen;G0373;11424;Partij van de Arbeid (P.v.d.A.);1
Bergen op Zoom;G0748;11037;GBWP;9
Bergen op Zoom;G0748;11037;VVD;5
Bergen op Zoom;G0748;11037;CDA;4
Bergen op Zoom;G0748;11037;Lijst Linssen;4
Bergen op Zoom;G0748;11037;Democraten 66 (D66);3
Bergen op Zoom;G0748;11037;BSD;2
Bergen op Zoom;G0748;11037;GROENLINKS;2
Bergen op Zoom;G0748;11037;Partij van de Arbeid (P.v.d.A.);2
Bergen op Zoom;G0748;11037;SP (Socialistische Partij);1
Bergen op Zoom;G0748;11037;Steunpunt Bergen op Zoom;1
Berkelland;G1859;10436;CDA;8
Berkelland;G1859;10436;Gemeentebelangen Berkelland;5
Berkelland;G1859;10436;Democraten 66 (D66);4
Berkelland;G1859;10436;VVD;4
Berkelland;G1859;10436;GROENLINKS;2
Berkelland;G1859;10436;OBL (Ondernemend Berkelland);2
Berkelland;G1859;10436;Partij van de Arbeid (P.v.d.A.);2
Bernheze;G1721;10149;CDA;6
Bernheze;G1721;10149;Lokaal;5
Bernheze;G1721;10149;Democraten 66 (D66);3
Bernheze;G1721;10149;SP (Socialistische Partij);3
Bernheze;G1721;10149;Politieke Partij Blanco;2
Bernheze;G1721;10149;Progressief Bernheze;2
Bernheze;G1721;10149;VVD;2
Best;G0753;10442;VVD;6
Best;G0753;10442;Best Open;3
Best;G0753;10442;CDA;3
Best;G0753;10442;Jongerenpartij JO;3
Best;G0753;10442;Democraten 66 (D66);2
Best;G0753;10442;Gemeentebelangen Best;2
Best;G0753;10442;ChristenUnie;1
Best;G0753;10442;Partij van de Arbeid (P.v.d.A.);1
Beuningen;G0209;10417;Beuningen Nu & Morgen;7
Beuningen;G0209;10417;CDA;3
Beuningen;G0209;10417;GROENLINKS;3
Beuningen;G0209;10417;VVD;3
Beuningen;G0209;10417;Democraten 66 (D66);2
Beuningen;G0209;10417;SP (Socialistische Partij);2
Beuningen;G0209;10417;Partij van de Arbeid (P.v.d.A.);1
Beverwijk;G0375;10272;GROENLINKS;5
Beverwijk;G0375;10272;VVD;5
Beverwijk;G0375;10272;Democraten 66 (D66);4
Beverwijk;G0375;10272;CDA;3
Beverwijk;G0375;10272;Partij van de Arbeid (P.v.d.A.);3
Beverwijk;G0375;10272;Democraten Beverwijk;2
Beverwijk;G0375;10272;SamenBeverwijk;2
Beverwijk;G0375;10272;VRIJ !;2
Beverwijk;G0375;10272;Gemeentebelangen Beverwijk;1
Bladel;G1728;11006;Bladel Transparant (BT);5
Bladel;G1728;11006;CDA;5
Bladel;G1728;11006;Vrije Hapertse Partij (VHP);4
Bladel;G1728;11006;PRO5;3
Bladel;G1728;11006;Democraten 66 (D66);1
Bladel;G1728;11006;VVD;1
Bladel;G1728;11006;Politieke Partij "Bladels Belang";
Bladel;G1728;11006;TrefZeker Hapert;
Blaricum;G0376;10493;Hart voor Blaricum;4
Blaricum;G0376;10493;De Blaricumse Partij;3
Blaricum;G0376;10493;VVD;3
Blaricum;G0376;10493;Democraten 66 (D66);2
Blaricum;G0376;10493;Democratisch Alternatief Blaricum;2
Blaricum;G0376;10493;CDA;1
Blaricum;G0376;10493;Partij van de Arbeid (P.v.d.A.);
Bloemendaal;G0377;10850;VVD;5
Bloemendaal;G0377;10850;CDA;3
Bloemendaal;G0377;10850;Democraten 66 (D66);3
Bloemendaal;G0377;10850;GROENLINKS;3
Bloemendaal;G0377;10850;Hart voor Bloemendaal;2
Bloemendaal;G0377;10850;LIBERAAL BLOEMENDAAL;1
Bloemendaal;G0377;10850;Partij van de Arbeid (P.v.d.A.);1
Bloemendaal;G0377;10850;Vrijzinnig Democratisch B'daal (VDB);1
Bodegraven-Reeuwijk;G1901;11091;VVD;6
Bodegraven-Reeuwijk;G1901;11091;CDA;5
Bodegraven-Reeuwijk;G1901;11091;Burgerbelangen Bodegraven-Reeuwijk;3
Bodegraven-Reeuwijk;G1901;11091;Staatkundig Gereformeerde Partij (SGP);3
Bodegraven-Reeuwijk;G1901;11091;ChristenUnie;2
Bodegraven-Reeuwijk;G1901;11091;GROENLINKS;2
Bodegraven-Reeuwijk;G1901;11091;Democraten 66 (D66);1
Bodegraven-Reeuwijk;G1901;11091;Partij van de Arbeid (P.v.d.A.);1
Boekel;G0755;10432;CDA;7
Boekel;G0755;10432;Gemeenschapsbelang Venhorst-Boekel;4
Boekel;G0755;10432;D.O.P.;3
Boekel;G0755;10432;VVD;1
Borger-Odoorn;G1681;10448;Gemeentebelangen Borger-Odoorn;8
Borger-Odoorn;G1681;10448;Partij van de Arbeid (P.v.d.A.);3
Borger-Odoorn;G1681;10448;VVD;3
Borger-Odoorn;G1681;10448;CDA;2
Borger-Odoorn;G1681;10448;Leefbaar Borger-Odoorn;2
Borger-Odoorn;G1681;10448;ChristenUnie;1
Borger-Odoorn;G1681;10448;Democraten 66 (D66);1
Borger-Odoorn;G1681;10448;GROENLINKS;1
Borne;G0147;10326;CDA;5
Borne;G0147;10326;GB'90;4
Borne;G0147;10326;VVD;3
Borne;G0147;10326;Borne-Nu;2
Borne;G0147;10326;GROENLINKS/Partij van de Arbeid (P.v.d.A.);2
Borne;G0147;10326;SP (Socialistische Partij);2
Borne;G0147;10326;Democraten 66 (D66);1
Borsele;G0654;10043;CDA;5
Borsele;G0654;10043;SGP-ChristenUnie;5
Borsele;G0654;10043;Lokale Partij Borsele;3
Borsele;G0654;10043;Partij van de Arbeid (P.v.d.A.);2
Borsele;G0654;10043;VVD;2
Borsele;G0654;10043;Democraten 66 (D66);1
Borsele;G0654;10043;OPA Borsele;1
Boxmeer;G0756;11227;CDA;6
Boxmeer;G0756;11227;SP (Socialistische Partij);5
Boxmeer;G0756;11227;Lokale Onafhankelijke Fractie (LOF);4
Boxmeer;G0756;11227;VDB/LO;3
Boxmeer;G0756;11227;PK (Progressieve Kombinatie);2
Boxmeer;G0756;11227;VVD;1
Boxtel;G0757;10083;BALANS;5
Boxtel;G0757;10083;Combinatie95;5
Boxtel;G0757;10083;CDA;3
Boxtel;G0757;10083;Democraten 66 (D66);3
Boxtel;G0757;10083;SP (Socialistische Partij);3
Boxtel;G0757;10083;INbox;2
Boxtel;G0757;10083;Partij van de Arbeid (P.v.d.A.)/GROENLINKS;1
Boxtel;G0757;10083;VVD;1
Breda;G0758;10154;VVD;11
Breda;G0758;10154;CDA;6
Breda;G0758;10154;Democraten 66 (D66);6
Breda;G0758;10154;GROENLINKS;5
Breda;G0758;10154;Partij van de Arbeid (P.v.d.A.);4
Breda;G0758;10154;SP (Socialistische Partij);4
Breda;G0758;10154;50PLUS;2
Breda;G0758;10154;BREDA'97;1
Breda;G0758;10154;BOB;
Breda;G0758;10154;Bredase Stadspartij;
Breda;G0758;10154;TROTS/OPA;
Breda;G0758;10154;Volkspartij Breda;
Breda;G0758;10154;Volmondig JA;
Brielle;G0501;10232;Inwonersbelang Brielle;6
Brielle;G0501;10232;VVD;4
Brielle;G0501;10232;CDA;3
Brielle;G0501;10232;Democraten 66 (D66);2
Brielle;G0501;10232;Partij van de Arbeid (P.v.d.A.);2
Bronckhorst;G1876;11159;CDA;7
Bronckhorst;G1876;11159;Gemeentebelangen Bronckhorst (GBB);6
Bronckhorst;G1876;11159;VVD;4
Bronckhorst;G1876;11159;GROENLINKS;3
Bronckhorst;G1876;11159;Democraten 66 (D66);2
Bronckhorst;G1876;11159;Partij van de Arbeid (P.v.d.A.);2
Bronckhorst;G1876;11159;ChristenUnie-SGP;1
Brummen;G0213;10798;LOKAAL BELANG;4
Brummen;G0213;10798;VVD;4
Brummen;G0213;10798;CDA;3
Brummen;G0213;10798;GROENLINKS;3
Brummen;G0213;10798;Partij van de Arbeid (P.v.d.A.);3
Brummen;G0213;10798;Democraten 66 (D66);2
Brunssum;G0899;10533;Burger Belangen Brunssum Lijst Palmen;5
Brunssum;G0899;10533;PAK (Progressief Akkoord);4
Brunssum;G0899;10533;VVD;3
Brunssum;G0899;10533;BCD;2
Brunssum;G0899;10533;Lijst Borger;2
Brunssum;G0899;10533;Partij van de Arbeid (P.v.d.A.);2
Brunssum;G0899;10533;SP (Socialistische Partij);2
Brunssum;G0899;10533;CDA;1
Bunnik;G0312;10820;Perspectief 21;8
Bunnik;G0312;10820;CDA;5
Bunnik;G0312;10820;De Liberalen;4
Bunschoten;G0313;11343;ChristenUnie;7
Bunschoten;G0313;11343;VVD;5
Bunschoten;G0313;11343;CDA;3
Bunschoten;G0313;11343;Christelijke Arbeiders Partij (CAP);2
Bunschoten;G0313;11343;Staatkundig Gereformeerde Partij (SGP);2
Bunschoten;G0313;11343;SVP;
Buren;G0214;11286;Gemeentebelangen;8
Buren;G0214;11286;VVD;4
Buren;G0214;11286;Protestants Christelijke Groepering;3
Buren;G0214;11286;Partij van de Arbeid (P.v.d.A.);2
Buren;G0214;11286;Partij voor de Dieren;2
Buren;G0214;11286;CDA;1
Buren;G0214;11286;Democraten 66 (D66);1
Capelle aan den IJssel;G0502;11248;Leefbaar Capelle;13
Capelle aan den IJssel;G0502;11248;VVD;4
Capelle aan den IJssel;G0502;11248;Democraten 66 (D66);3
Capelle aan den IJssel;G0502;11248;Staatkundig Gereformeerde Partij (SGP);3
Capelle aan den IJssel;G0502;11248;CDA;2
Capelle aan den IJssel;G0502;11248;ChristenUnie;2
Capelle aan den IJssel;G0502;11248;GROENLINKS;2
Capelle aan den IJssel;G0502;11248;Partij van de Arbeid (P.v.d.A.);2
Capelle aan den IJssel;G0502;11248;SP (Socialistische Partij);2
Capelle aan den IJssel;G0502;11248;JEZUS LEEFT;
Castricum;G0383;11287;VVD;5
Castricum;G0383;11287;CDA;4
Castricum;G0383;11287;CKenG;4
Castricum;G0383;11287;GROENLINKS;3
Castricum;G0383;11287;De VrijeLijst;2
Castricum;G0383;11287;Democraten 66 (D66);2
Castricum;G0383;11287;Gemeente-en Dorpsbelang;2
Castricum;G0383;11287;Forza! Castricum;1
Castricum;G0383;11287;Partij van de Arbeid (P.v.d.A.);1
Castricum;G0383;11287;Socialistische Partij (SP);1
Coevorden;G0109;10383;Belangen Buitengebied Coevorden;9
Coevorden;G0109;10383;CDA;4
Coevorden;G0109;10383;Partij van de Arbeid (P.v.d.A.);4
Coevorden;G0109;10383;VVD;4
Coevorden;G0109;10383;PAC;2
Coevorden;G0109;10383;Democraten 66 (D66);1
Coevorden;G0109;10383;Gemeentebelangen;1
Cranendonck;G1706;10219;CDA;6
Cranendonck;G1706;10219;Pro6;5
Cranendonck;G1706;10219;Echte Lokale Aandacht Nu (ELAN);4
Cranendonck;G1706;10219;Cranendonck Actief!;2
Cranendonck;G1706;10219;VVD;2
Cuijk;G1684;10023;Liberaal LVC;5
Cuijk;G1684;10023;Algemeen Belang Cuijk (ABC-CUIJK);4
Cuijk;G1684;10023;CDA;3
Cuijk;G1684;10023;Democraten 66 (D66);2
Cuijk;G1684;10023;SP (Socialistische Partij);2
Cuijk;G1684;10023;GROENLINKS;1
Cuijk;G1684;10023;Partij van de Arbeid (P.v.d.A.);1
Cuijk;G1684;10023;VVD;1
Cuijk;G1684;10023;PLC (Progressief Leefbaar Cuijk);
Culemborg;G0216;10342;GROENLINKS;4
Culemborg;G0216;10342;VVD;4
Culemborg;G0216;10342;Culemborg Van Nu;3
Culemborg;G0216;10342;Democraten 66 (D66);3
Culemborg;G0216;10342;CDA;2
Culemborg;G0216;10342;ChristenUnie;2
Culemborg;G0216;10342;Blanco lijst 8;1
Culemborg;G0216;10342;Partij van de Arbeid (P.v.d.A.);1
Culemborg;G0216;10342;SP (Socialistische Partij);1
Culemborg;G0216;10342;Blanco lijst 9;
Dalfsen;G0148;11007;Gemeentebelangen;9
Dalfsen;G0148;11007;CDA;5
Dalfsen;G0148;11007;ChristenUnie;3
Dalfsen;G0148;11007;Partij van de Arbeid (P.v.d.A.);2
Dalfsen;G0148;11007;Democraten 66 (D66);1
Dalfsen;G0148;11007;VVD;1
Dalfsen;G0148;11007;LP (Libertarische Partij);
Dantumadiel;G1891;10650;CDA;5
Dantumadiel;G1891;10650;ChristenUnie;3
Dantumadiel;G1891;10650;Gemeentebelangen Dantumadiel;3
Dantumadiel;G1891;10650;Sociaal Links;3
Dantumadiel;G1891;10650;FNP;1
Dantumadiel;G1891;10650;Staatkundig Gereformeerde Partij (SGP);1
Dantumadiel;G1891;10650;VVD;1
De Bilt;G0310;10168;VVD;5
De Bilt;G0310;10168;Democraten 66 (D66);4
De Bilt;G0310;10168;GROENLINKS;4
De Bilt;G0310;10168;Beter De Bilt;3
De Bilt;G0310;10168;CDA;3
De Bilt;G0310;10168;Forza De Bilt;2
De Bilt;G0310;10168;Partij van de Arbeid (P.v.d.A.);2
De Bilt;G0310;10168;Bilts Belang;1
